t90_error,fluence_error,flux_1024_time,flux_64_error,flnc_band_ampl_neg_err,flnc_band_epeak,flnc_band_epeak_neg_err,flnc_band_alpha_pos_err,flnc_band_beta,flnc_band_beta_pos_err,flnc_spectrum_start,actual_1024ms_interval,actual_256ms_interval,actual_64ms_interval,back_interval_low_start,bcat_detector_mask,bcatalog,bii,duration_energy_high,duration_energy_low,error_radius,flnc_band_ergflux_error,flnc_band_redchisq,flnc_band_redfitstat,flnc_comp_epeak,flnc_comp_index_pos_err,flnc_comp_phtfluxb,flnc_comp_pivot,flnc_plaw_pivot,flnc_sbpl_brken,flnc_sbpl_brksc,flnc_sbpl_indx1,flnc_sbpl_indx1_pos_err,flnc_sbpl_indx2_neg_err,flnc_sbpl_phtflux_error,flnc_sbpl_pivot,flu_high,flu_low,fluence_batse_error,lii,pflx_band_alpha,pflx_band_ampl,pflx_band_beta,pflx_band_beta_pos_err,pflx_band_epeak_pos_err,pflx_band_redfitstat,pflx_comp_ampl_pos_err,pflx_comp_pivot,pflx_plaw_dof,pflx_plaw_index,pflx_plaw_index_neg_err,pflx_plaw_pivot,pflx_sbpl_brken_pos_err,pflx_sbpl_brksc,pflx_sbpl_indx1,pflx_sbpl_indx2,pflx_sbpl_pivot,scat_detector_mask,scatalog,t50,t50_error,t50_start
0.572,3.85e-08,1.984,1.5494,0.000583816,465.1933,38.65894,0.02180946,-1.779303,0.02873743,-1.024,1.024,0.256,0.064,-30.0,11010100.0,2,-54.4987,300,50,0.446,1.35e-08,1.268,2.635,1070.705,0.01663017,2.413038,100,100,169.2213,0.3,-1.094797,0.01770818,0.02520978,0.04581156,100,1000,10,2.09e-08,3.6174,-0.6438812,0.1617829,-1.932132,0.04540491,18.39342,1.271,0.003525674,100,481,-1.438641,0.006553888,100,10.13901,0.3,-0.7989069,-1.953728,100,11010001.0,3,5.376,0.572,1.344
0.572,5.7e-08,0.128,2.1118,0.001457389,322.211,16.91763,0.03116769,-2.43649,0.2741058,-1.024,1.024,0.256,0.064,-29.58,11010000000000.0,2,-10.7021,300,50,0.0001,2.99e-08,1.231,1.811,346.9114,0.02764952,4.406756,100,100,286.996,0.3,-1.043617,0.02269328,0.4496634,0.1259576,100,1000,10,2.91e-08,6.2233,-0.9646456,0.09411904,-4.380129,6.48079,12.88153,1.032,0.00855054,100,364,-1.658591,0.01481009,100,82.95204,0.3,-1.212525,-4.058342,100,10010000000000.0,3,4.352,0.362,1.344
3.916,3.31e-08,22.08,1.5022,0.001105078,184.7757,50.97723,0.1357058,-1.804653,0.1685937,-7.168,1.024,0.256,0.064,-55.73,1100100.0,2,-39.1072,300,50,0.0004,1.09e-08,1.055,1.619,314.9519,0.07811105,0.5188816,100,100,85.02413,0.3,-1.171958,0.09969413,0.1633906,0.05105486,100,1000,10,1.67e-08,330.7082,-0.4446562,0.0236268,-1.715298,0.3400692,93.08116,0.994,0.001969131,100,480,-1.454143,0.05515587,100,23.14476,0.3,4.23918,-1.652785,100,1100101.0,3,28.928,1.379,1.792
0.923,3.48e-08,0.96,1.88,0.001100258,213.8753,97.11063,0.1739315,-2.0,0.0,-1.024,1.024,0.256,0.064,-19.12,1000100000.0,2,-15.0316,300,50,0.0002,2.09e-08,1.121,1.309,263.7442,0.1525321,0.5414829,100,100,533.7058,0.3,-1.411757,0.08929884,29.13432,0.1233799,100,1000,10,1.98e-08,281.2891,-0.6616179,0.01581024,-2.546059,1759.072,76.20303,0.978,0.01073789,100,361,-1.636391,0.09577513,100,1093.307,0.3,-1.171,-4.97175,100,1000100001.0,3,5.376,1.086,0.512
2.111,5.79e-08,7.36,1.7357,0.002074656,26.54853,1.367109,0.08629835,-2.44561,0.08506799,-62.721,1.024,0.256,0.064,-79.17,11100000.0,2,49.7482,300,50,0.001,4.84e-09,1.238,2.465,67176.51,0.01614189,0.5282637,100,100,26796.69,0.3,-2.126892,0.0113411,26.77319,0.03641909,100,1000,10,3.1e-08,216.3249,-1.373677,0.05301775,-2.722929,0.7453482,12.13056,1.165,0.005650789,100,480,-1.82437,0.02041364,100,288601.3,0.3,-1.817465,-13.26185,100,1100101.0,3,46.337,0.724,1.024
12.586,4.67e-08,5.12,1.1991,0.02865218,43.05394,3.057457,0.2542472,-2.546744,0.1492178,-3.072,1.024,0.256,0.064,-28.96,11000000.0,2,15.8944,300,50,0.05,7.26e-09,1.118,1.647,55.63794,0.1290429,0.3564097,100,100,39.52257,0.3,-0.873409,0.1702566,0.2151186,0.04790923,100,1000,10,2.37e-08,229.9067,-0.7590839,0.03240956,-2.680296,293.9047,16.95462,1.17,0.01001412,100,481,-1.827389,0.07847214,100,32.90162,0.3,-1.094639,-2.839637,100,11010001.0,3,10.752,1.145,1.472
6.229,1.36e-07,14.464,1.7065,0.001220396,182.7618,10.45215,0.03240418,-2.366284,0.1602528,-2.048,1.024,0.256,0.064,-80.0,11100.0,2,10.4427,300,50,0.0013,9.7e-09,1.369,2.591,214.6327,0.01897645,1.994232,100,100,123.6832,0.3,-1.112567,0.02177727,0.07853532,0.03908126,100,1000,10,7.25e-08,229.7275,-0.841216,0.06960922,-2.348404,0.355031,29.46651,1.143,0.003856897,100,480,-1.484731,0.0113945,100,31.81221,0.3,-0.9911038,-2.325124,100,11101.0,3,16.384,1.448,11.264
1.81,4.84e-08,1.984,1.2552,0.02482511,44.31059,5.586758,0.2284228,-2.334998,0.1347055,-2.048,1.024,0.256,0.064,-20.83,11110100000000.0,2,28.3913,300,50,0.0005,1.23e-08,1.179,1.703,62.5761,0.0753485,0.773626,100,100,30.75512,0.3,-0.917268,0.1918789,0.1203888,0.06644277,100,1000,10,2.51e-08,99.5012,-0.6103462,0.1211284,-2.344683,0.1857971,11.56903,1.226,0.009060781,100,483,-1.819067,0.0336324,100,12.69129,0.3,-0.9090515,-2.449251,100,11100000000000.0,3,4.096,0.724,0.256
4.58,1.98e-07,11.136,1.2589,0.000126439,635.4435,23.15124,0.01224029,-2.216035,0.07805014,-270.34,1.024,0.256,0.064,-414.58,11100000000000.0,2,62.4272,300,50,0.0,7.19e-09,1.263,8.207,718.1688,0.01092625,1.405669,100,100,354.3285,0.3,-1.016554,0.009921551,0.07538772,0.01831278,100,1000,10,1.09e-07,250.1146,-0.7836695,0.05428326,-2.330791,0.2983212,88.87616,1.073,0.002057165,100,483,-1.350297,0.008912206,100,52.00201,0.3,-0.8621951,-2.156388,100,1100000000000.0,3,112.642,4.58,-185.347
0.724,2.28e-07,94.913,2.8114,0.000219049,1317.518,42.25854,0.008512914,-2.796243,0.09102607,-1.024,1.024,0.256,0.064,-45.31,100000000000.0,2,-28.1847,300,50,0.044,1.7e-08,1.147,2.828,1488.065,0.007983089,4.793386,100,100,904.4453,0.3,-1.067891,0.006931901,0.06460047,0.06782994,100,1000,10,7.69e-08,281.4865,-0.8286212,0.06003456,-2.209604,0.1142554,160.7659,1.068,0.001452062,100,362,-1.359856,0.008778691,100,100.1019,0.3,-0.9150692,-2.196918,100,100000000000.0,3,25.088,0.724,71.681
5.431,4.51e-08,9.344,1.1105,418304.5,33.97072,3.856998,0.6714373,-1.608094,0.03825974,-3.072,1.024,0.256,0.064,-32.5,10011000000000.0,0,37.7287,300,50,0.001,1.09e-08,1.192,1.299,171.6656,0.1140743,0.803271,100,100,16.36474,0.3,5.479,0.0,0.0,0.0541615,100,1000,10,2.62e-08,274.945,0.5788453,0.1607916,-1.994676,0.2372552,20.57584,1.055,0.01200822,100,487,-1.476402,0.0432744,100,22.44048,0.3,0.1142304,-2.0362,100,10011000001.0,3,7.424,0.572,2.048
1.056,3.22e-08,-0.128,1.5156,0.001243935,119.9223,6.461441,0.05232769,-2.630302,0.2198091,-1.024,1.024,0.256,0.064,-22.5,11100.0,3,-21.4242,300,50,0.001,8.92e-09,1.014,1.472,131.5953,0.04376864,0.8672618,100,100,102.7785,0.3,-1.121465,0.04392755,0.1948967,0.03700988,100,1000,10,1.76e-08,56.6538,-0.3891384,0.09982642,-2.135733,0.165534,16.80266,1.07,0.006487314,100,482,-1.581645,0.0211916,100,13.05539,0.3,-0.6688613,-2.228439,100,11101.0,3,23.296,0.362,180.48
2.612,5.3e-08,1.216,1.2794,0.000360079,690.9058,4569.549,0.06917179,-1.640477,0.0888188,-1.024,1.024,0.256,0.064,-16.0,1100000000000.0,0,-12.9318,300,50,0.01,1.64e-08,0.937,0.987,320181.7,0.02669621,0.6628482,100,100,38.76764,0.3,-1.49003,0.7371373,0.1014441,0.1766983,100,1000,10,2.89e-08,123.0738,-1.578901,0.009140988,-1.647558,0.2016369,13659.04,1.199,0.000712336,100,347,-1.622405,0.06335676,100,553.1392,0.3,-1.565571,-1.639857,100,1100000000000.0,3,8.32,0.345,1.344
6.557,2.11e-07,3.008,2.8185,0.01557981,55.39384,3.930946,0.2255061,-2.839467,0.3367367,-8.192,1.024,0.256,0.064,-84.38,1000100000.0,0,54.5445,300,50,0.05,1.6e-08,1.049,1.377,60.81437,0.1757433,0.7294169,100,100,61.28897,0.3,-1.151691,0.1768285,0.5999925,0.1428701,100,1000,10,1.19e-07,117.4461,2.439597,83.43307,-2.25803,0.1821118,8.020598,1.129,0.03872434,100,301,-1.845864,0.0712564,100,16.84323,0.3,0.1602954,-2.537516,100,1000100001.0,3,6.144,2.721,-3.072
1.778,4.08e-08,-1.152,1.9452,0.00417556,128.2527,30.25776,0.2148364,-4.90207,50.76259,-2.048,1.024,0.256,0.064,-6.08,1000000000.0,0,-29.1832,300,50,0.0,8.29e-08,0.958,1.071,120.7071,0.2764273,0.8748109,100,100,210.9354,0.3,-1.121586,0.1738052,15.11581,0.2240648,100,1000,10,2.49e-08,208.4679,-0.9315754,0.02211175,-4.595625,39.1496,42.80701,1.025,0.008097616,100,206,-1.652549,0.071823,100,122.4951,0.3,-1.185042,-3.498595,100,1000000010.0,3,1.152,0.462,-0.896
10.419,1.54e-07,3.264,1.0105,0.0004727,199.6489,24.27916,0.05132145,-1.934435,0.07371855,-6.144,1.024,0.256,0.064,-94.79,11100000.0,0,-19.6711,300,50,0.0,7.21e-09,1.168,2.397,304.8435,0.04605711,0.562395,100,100,96.84563,0.3,-0.9771304,0.06045008,0.1023666,0.0248204,100,1000,10,7.87e-08,335.3186,-0.9142231,0.008614845,-2.806014,3.46588,258.5681,1.06,0.001137988,100,447,-1.331783,0.04235935,100,257.0066,0.3,-1.016056,-2.905295,100,11100001.0,3,68.865,3.661,14.976
4.382,3.63e-08,7.232,1.0309,0.000927263,376.5668,137.6871,0.1330001,-1.557335,0.05898716,-2.048,1.024,0.256,0.064,-38.33,11110100000000.0,0,33.9317,300,50,0.0001,1.36e-08,1.051,1.437,5095.763,0.03166023,0.5345441,100,100,126.509,0.3,-0.9033633,0.1118112,0.05997226,0.0504791,100,1000,10,1.82e-08,66.0387,-0.8920526,0.007179506,-1.540759,0.1699567,697.2038,1.149,0.000453921,100,482,-1.313206,0.04449394,100,219.9463,0.3,-0.9799501,-1.55658,100,11100000000000.0,3,18.176,1.305,3.84
0.923,1.14e-07,7.936,2.3522,0.01620014,60.0793,3.848751,0.1195379,-2.423672,0.09205273,-13.312,1.024,0.256,0.064,-31.42,11000000000.0,0,12.2424,300,50,0.0002,1.42e-08,1.18,1.305,76.74815,0.06161428,1.279593,100,100,42.63852,0.3,-0.9075559,0.1150514,0.1059766,0.08036808,100,1000,10,5.83e-08,88.2704,-0.48994,0.166909,-6.226477,44.35542,8.963982,0.924,0.02670395,100,328,-1.623814,0.01838279,100,23.0662,0.3,-0.8295875,-3.727592,100,11000000010.0,3,6.016,0.181,3.008
1.717,3.95e-08,-0.768,1.073,0.00673396,101.2375,13.85777,0.2445428,-4.900137,18.67444,-3.072,1.024,0.256,0.064,-17.33,11100000000.0,0,86.16,300,50,0.0013,3.21e-08,1.129,1.209,98.03851,0.3077416,0.541834,100,100,425.9663,0.3,-0.9189253,0.2113289,1154.238,0.1113776,100,1000,10,2.19e-08,85.7259,-0.6720918,0.01555353,-3.133094,3.88983,25.21344,1.02,0.008097065,100,443,-1.616647,0.08769369,100,1354.18,0.3,-1.028644,-17.77472,100,11100000010.0,3,2.048,1.145,-1.536
13.029,3.27e-07,10.56,1.1519,0.000916841,209.9496,42.30806,0.09077144,-1.614677,0.04154444,-6.144,1.024,0.256,0.064,-180.0,1100000000000.0,0,-39.7686,300,50,0.05,7.66e-09,1.062,1.403,2438.841,0.0212115,0.6125445,100,100,75.43943,0.3,-1.166445,0.07023859,0.04840338,0.03605377,100,1000,10,1.78e-07,163.0757,-1.391503,0.006593548,-1.519067,0.2214661,7938.082,1.088,0.000570174,100,446,-1.461553,0.0584718,100,601133.8,0.3,-1.426936,-11.26805,100,1100000000000.0,3,38.913,1.741,7.68
8.809,2.43e-07,0.704,2.1133,0.008411366,52.75072,3.718376,0.1737603,-2.921377,0.4151618,-12.288,1.024,0.256,0.064,-126.67,100000000000.0,0,57.6302,300,50,0.001,1.13e-08,1.055,1.222,56.98061,0.1284679,0.6470532,100,100,57.73096,0.3,-1.264834,0.1483748,0.4012187,0.1039411,100,1000,10,1.3e-07,119.8433,-0.02879892,0.2146492,-20.40295,161055000.0,5.775894,1.117,0.1267971,100,325,-1.954632,0.09287202,100,54.28534,0.3,-0.7527751,-5.172334,100,100000000000.0,3,23.04,3.278,-9.728
3.238,1.24e-06,7.488,10.5135,0.00013355,824.9874,5.447545,0.001843404,-2.828635,0.03237887,0.0,1.024,0.256,0.064,-285.42,10011000.0,0,72.5013,300,50,0.0013,7.58e-09,7.253,8.953,867.1614,0.001692048,9.81298,100,100,513.676,0.3,-1.095455,0.001510128,0.01484471,0.0251719,100,1000,10,6.59e-07,206.461,-0.4544695,1.697316,-3.127539,0.04478148,6.003261,4.275,0.006414942,100,483,-1.251526,0.001863487,100,6.876501,0.3,-0.5862507,-2.720952,100,10011001.0,3,4.096,1.448,6.144
0.916,1.54e-07,25.6,1.8285,0.000417024,381.0694,14.57083,0.01561415,-2.181103,0.0669055,-12.288,1.024,0.256,0.064,-90.0,11011000000.0,0,-13.8031,300,50,0.05,9.9e-09,1.747,2.436,452.9242,0.01191545,2.526322,100,100,194.4908,0.3,-0.9721746,0.01254564,0.04122901,0.03091613,100,1000,10,8.03e-08,111.0631,-0.7346693,0.1618259,-2.129988,0.07980943,33.40454,1.202,0.003377661,100,486,-1.381264,0.005493522,100,17.98373,0.3,-0.8378367,-2.076014,100,10011000001.0,3,6.848,0.181,23.872
1.864,1.2e-07,3.264,1.3777,0.000711691,121.1838,6.942412,0.04842311,-24.20768,78944800000.0,-13.312,1.024,0.256,0.064,-96.25,10100100000000.0,0,28.7056,300,50,0.05,5.17e-09,1.228,1.443,120.441,0.04882717,0.5776718,100,100,93.9095,0.3,-1.218134,0.05282748,0.2946584,0.02755924,100,1000,10,6.89e-08,125.4537,0.2276132,0.06302762,-2.894047,0.6389177,21.50555,0.99,0.007903539,100,447,-1.308817,0.02415717,100,22.53248,0.3,0.05447555,-2.527962,100,11100000000000.0,3,25.856,1.557,3.904
1.639,4.6e-08,3.776,1.5305,0.000344381,305.9518,160.2304,0.07599305,-18.62645,22302080000.0,-35.84,1.024,0.256,0.064,-20.75,1100000.0,0,62.1064,300,50,0.05,1.62e-08,1.105,1.796,284.9898,0.0654403,0.3989227,100,100,909.0597,0.3,-1.633525,0.04893379,222.1888,0.05469632,100,1000,10,2.45e-08,42.5684,-1.099199,0.0122169,-12.28052,1382697.0,44.5752,1.021,0.004321856,100,318,-1.655159,0.07857418,100,410.0909,0.3,-1.274331,-5.308465,100,1100001.0,3,7.68,0.724,2.816
6.192,6.26e-08,-1.344,1.1445,2.085492,28.93878,8.234922,0.5639118,-2.253886,0.1823583,-2.048,1.024,0.256,0.064,-28.25,11010100.0,0,27.7041,300,50,0.07,1.65e-08,1.024,1.032,57.72622,0.2501501,0.3739531,100,100,19.81186,0.3,-0.6505031,1.809341,0.4482245,0.1273065,100,1000,10,4.24e-08,38.4282,0.4512867,0.6669221,-2.26459,0.2785177,12.38603,1.06,0.006509437,100,444,-1.893079,0.09663558,100,17.90113,0.3,0.5567125,-2.367454,100,11010001.0,3,2.048,1.379,-1.28
6.192,1.21e-07,3.712,4.6918,60.23346,9.698187,7.461737,14.57598,-2.453368,0.03650284,-1.024,1.024,0.256,0.064,-63.75,1000000000.0,0,64.6363,300,50,0.0004,3.19e-09,1.309,2.135,15.16798,0.0,0.001066983,100,100,79.64143,0.3,-2.636369,0.1952915,0.2043754,0.03137656,100,1000,10,6.37e-08,11.357,0.06306185,1.897733,-1.719723,0.04954576,75.72171,1.091,0.000578454,100,482,-1.71508,0.04573596,100,582.3508,0.3,-1.7447,-1.655464,100,11100001.0,3,18.688,1.81,3.84
1.81,2.62e-07,83.521,1.5483,0.3549603,23.16288,0.8086395,0.1830881,-2.005516,0.03259695,-2.048,1.024,0.256,0.064,-212.5,11010000.0,0,-64.7151,300,50,0.001,2.4e-09,4.01,6.866,84.55016,0.01082039,0.9786411,100,100,171.1205,0.3,-1.7816,0.008832693,0.270536,0.01701373,100,1000,10,1.4e-07,217.1823,-1.407052,0.03213625,-5.037653,45.59945,7.172424,1.098,0.004230961,100,441,-1.854106,0.02488637,100,111.8524,0.3,-1.618809,-5.206053,100,11010001.0,3,94.977,1.846,42.497
2.996,6.44e-08,4.016,1.2826,0.000879094,217.6391,40.88432,0.07416952,-2.084611,0.2288168,-6.144,1.024,0.256,0.064,-131.25,1011100.0,0,-60.5363,300,50,0.001,1.08e-08,1.075,1.992,274.1898,0.05523515,0.7668837,100,100,98.29916,0.3,-0.9671379,0.08290338,0.1612295,0.04105532,100,1000,10,3.78e-08,165.9453,-0.4724143,0.02834856,-1.626761,0.1254777,87.65192,1.029,0.00267295,100,448,-1.3531,0.03435588,100,31.25221,0.3,-0.7242613,-1.681863,100,11101.0,3,17.92,0.81,4.08
0.091,1.5e-07,1.344,5.3872,0.002122283,325.735,3.507965,0.008404165,-2.531708,0.03393006,0.0,1.024,0.256,0.064,-4.95,11100.0,0,-10.5929,300,50,0.45,3.26e-08,2.131,2.335,369.0532,0.006459177,20.49317,100,100,198.6557,0.3,-0.6191729,0.007131577,0.02197075,0.09371049,100,1000,10,7.52e-08,229.0861,-0.05369397,1.186134,-2.751562,0.03981233,5.451599,1.516,0.007947698,100,484,-1.232582,0.001609445,100,5.226868,0.3,-0.2684827,-2.635951,100,11101.0,3,1.536,0.091,1.728
0.462,1.11e-07,108.098,1.1772,0.0002127,268.7265,18.30995,0.02243652,-9.12775,5122.594,-2.048,1.024,0.256,0.064,-26.04,11100000.0,0,-38.284,300,50,0.05,7.87e-09,1.176,2.015,266.1054,0.02125025,0.8688412,100,100,395.7028,0.3,-1.386053,0.01473236,2.996215,0.02476341,100,1000,10,5.7e-08,273.4853,-1.030578,0.02570482,-13.37109,622859.4,65.40445,1.025,0.001957865,100,448,-1.436386,0.01800382,100,111.1082,0.3,-1.138761,-3.009759,100,11100001.0,3,73.985,0.32,33.281
0.572,1.34e-07,0.128,1.5606,0.000671273,366.8909,16.29504,0.01992905,-2.464065,0.1859193,-1.024,1.024,0.256,0.064,-43.75,10010000000000.0,3,51.5447,300,50,0.0,1.78e-08,1.031,1.101,397.7636,0.01784235,3.227654,100,100,239.5934,0.3,-1.044247,0.01634216,0.1201251,0.06173249,100,1000,10,6.69e-08,232.9246,-0.5983952,0.08455653,-1.940338,0.07302916,32.05264,1.015,0.003212787,100,486,-1.387271,0.008340597,100,19.14346,0.3,-0.7539919,-1.962642,100,10011000001.0,3,8.192,0.572,2.368
0.572,1.19e-07,22.4,2.6806,0.000927832,178.0855,4.030945,0.009639144,-2.304559,0.03372955,-3.072,1.024,0.256,0.064,-41.67,10011000000000.0,0,-64.429,300,50,0.001,8.91e-09,1.855,4.486,221.103,0.006177545,5.707891,100,100,126.7345,0.3,-1.339947,0.007467389,0.02682948,0.04567807,100,1000,10,6.76e-08,117.6701,-0.7938381,0.3240464,-2.659619,0.1337907,11.10458,1.221,0.006302714,100,485,-1.487357,0.004237533,100,14.15494,0.3,-0.9495064,-2.582592,100,10011000000000.0,3,9.728,0.362,21.504
1.243,7.48e-08,4.992,2.1299,0.01407696,121.2054,5.82589,0.09329259,-2.416432,0.09636641,-1.024,1.024,0.256,0.064,-37.25,1100.0,0,41.0043,300,50,0.002,1.98e-08,1.219,1.308,152.6597,0.05472404,2.641653,100,100,75.54703,0.3,-0.2352874,0.09838758,0.09530258,0.08396468,100,1000,10,5.05e-08,145.6154,0.6408801,0.7379238,-2.501325,0.1472905,7.854477,1.101,0.03171103,100,326,-1.518618,0.01752734,100,9.004215,0.3,0.2445552,-2.605373,100,1101.0,3,5.12,0.272,3.456
0.716,6.54e-08,6.08,2.0802,0.002246136,86.14947,4.099892,0.03498566,-2.252489,0.05515289,-1.024,1.024,0.256,0.064,-13.62,11100000000000.0,0,-25.1981,300,50,0.01,1.06e-08,1.228,1.953,113.4409,0.01976991,1.87812,100,100,51.48789,0.3,-1.226996,0.03869855,0.04476118,0.04163465,100,1000,10,3.58e-08,284.2485,-0.8443602,0.2718276,-2.891417,0.213295,3.195953,1.14,0.0163147,100,447,-1.758875,0.009913087,100,8.75116,0.3,-1.1162,-2.917863,100,11100000000000.0,3,5.056,0.091,2.304
8.719,3.16e-08,7.104,0.7983,0.002406138,122.4319,31.43538,0.1764774,-2.429174,0.6778903,-6.144,1.024,0.256,0.064,-40.83,11011100000000.0,3,-27.0906,300,50,0.0006,1.89e-08,1.018,1.074,141.4426,0.1481358,0.5244462,100,100,63.09375,0.3,-0.8437738,0.260857,0.4720209,0.07195654,100,1000,10,1.74e-08,139.5582,-0.5648388,0.01539455,-2.16972,301.3955,83.02654,1.042,0.00255449,100,484,-1.506429,0.06400108,100,42.73015,0.3,-0.6859567,-2.098655,100,1010100000000.0,3,10.24,0.572,0.0
11.585,1.22e-07,5.44,0.944,0.00253777,116.1733,15.88846,0.1154748,-1.786028,0.04965377,-76.8,1.024,0.256,0.064,-126.25,11011100.0,0,67.0329,300,50,0.001,6.96e-09,1.187,2.577,241.9241,0.04911983,0.6146833,100,100,44.95587,0.3,-0.5986828,0.1539262,0.05151713,0.02824172,100,1000,10,6.8e-08,115.5985,-0.4474036,0.02027602,-1.760229,0.5238825,48.80696,1.191,0.003890701,100,359,-1.420829,0.04943883,100,40.02416,0.3,-0.7307543,-1.852403,100,10010001.0,3,46.081,5.793,-37.889
2.005,1.18e-07,0.0,2.9432,0.002234652,196.6831,25.29817,0.1065249,-16.81641,51755720.0,-5.12,1.024,0.256,0.064,-20.42,100100000000.0,0,-18.8535,300,50,0.0013,3.6e-08,1.038,1.081,197.5819,0.1051619,1.520969,100,100,247.5191,0.3,-1.356781,0.07670951,11.2065,0.2191825,100,1000,10,4.86e-08,339.3092,-0.4907367,0.1337514,-2.436403,0.417865,16.4533,1.106,0.01427825,100,363,-1.64743,0.02471471,100,24.82,0.3,-0.8354529,-2.652218,100,100100000000.0,3,6.016,5.44,0.0
0.231,1.21e-07,4.48,4.3204,0.000663525,257.4033,12.11981,0.01890111,-2.31872,0.09381723,-1.024,1.024,0.256,0.064,-51.87,1000.0,0,37.7845,300,50,0.0005,1.33e-08,1.23,2.313,289.5822,0.01625478,2.709114,100,100,179.9976,0.3,-1.294343,0.01556802,0.09300137,0.06000064,100,1000,10,6.22e-08,72.6384,-0.5478179,0.2208048,-2.432003,0.09221244,18.98682,1.156,0.006519154,100,238,-1.454599,0.005627871,100,17.86714,0.3,-0.7218633,-2.440985,100,1001.0,3,21.184,0.091,5.056
2.36,8.14e-08,128.706,1.2485,0.000139453,691.0065,58.23737,0.01754272,-3.539906,16.15724,-11.264,1.024,0.256,0.064,-85.0,11110100000000.0,0,-12.4876,300,50,0.05,8.75e-09,1.155,2.199,691.8573,0.01752639,0.9918889,100,100,1387.174,0.3,-1.305452,0.01397526,27.83406,0.02897998,100,1000,10,4.45e-08,22.1933,-0.9986334,0.03248065,-4.444951,17.00601,80.51877,1.072,0.001924157,100,482,-1.424843,0.01507103,100,345.3408,0.3,-1.130175,-3.729409,100,11010000000000.0,3,80.129,6.931,51.969
2.064,4.47e-08,0.576,1.3502,0.000599208,533.7734,112.7912,0.04621482,-2.036804,0.4716027,-1.024,1.024,0.256,0.064,-23.12,11011100000.0,0,-17.1183,300,50,0.0006,3.1e-08,1.023,1.241,577.6343,0.04155517,1.390766,100,100,251.8475,0.3,-1.296906,0.03540587,0.4877667,0.08292557,100,1000,10,2.42e-08,84.2903,-1.266816,0.02929553,-2.211583,6.172116,236.7721,1.053,0.001844918,100,485,-1.483787,0.01788115,100,195.4112,0.3,-1.316312,-2.391488,100,11001000010.0,3,4.352,0.572,1.024
12.13,6.4e-08,6.08,1.6891,0.01043641,69.47841,10.72259,0.1905073,-2.091635,0.08071064,-4.096,1.024,0.256,0.064,-58.33,100100.0,0,20.9684,300,50,0.0,1.4e-08,1.019,1.094,130.2422,0.06533122,0.9049557,100,100,35.27816,0.3,-0.9009863,0.2291403,0.0986352,0.07503606,100,1000,10,3.32e-08,79.1331,-0.3376842,0.140734,-2.240301,0.2773299,15.7219,1.137,0.01346279,100,362,-1.736244,0.04421544,100,14.06897,0.3,-0.4898055,-2.276856,100,100101.0,3,7.936,0.724,3.584
